,Row Number,University Name,Vice-Chancellor,Website,Year Established,Fees,State
15,57,Wesley University Ondo,Professor Tola Badejo,https://www.wesleyuni.edu.ng,2007,NULL,
16,58,"Western Delta University, Oghara Delta State",Prof. (Mrs) Olete Okobiah,https://wdu.edu.ng,2007,NULL,
12,93,"Mewar International University, Masaka, Nasarawa State",,https://www.miu.edu.ng/,2021,NULL,
0,88,"James Hope University, Lagos, Lagos State",Prof. Chukuka Enwemeka,https://jhu.edu.ng/tuition/,2021,NULL,
17,86,"NOK University, Kachia, Kaduna State",Prof. Ishaya Haruna Nock,,2021,NULL,
14,108,"European University of Nigeria, Duboyi, FCT",,https://nucis.ng/institute/european-university-of-nigeria/,2022,NULL,
18,103,"Baba Ahmed University, Kano State",,https://babaahmeduniversity.edu.ng/fees/tuition,2022,NULL,
13,102,"Sports University, Idumuje, Ugboko, Delta State",,,2022,NULL,
2,121,"Franco British International University, Kaduna State",Prof. Abdullahi Sabo Muhammad,https://fbiu.edu.ng/,2023,NULL,
1,116,"PeaceLand University, Enugu State",,,2023,NULL,
3,123,"Gerar University of Medical Science Imope Ijebu, Ogun State.",,,2023,NULL,
4,134,"The Duke Medical University, Calabar, Cross River State",,,2023,NULL,
5,135,"Mercy Medical University, Iwo, Ogun State",,,2023,NULL,
6,136,Cosmopolitan University Abuja,,,2023,NULL,
7,139,"West Midlands Open University, Ibadan, Oyo State",,,2023,NULL,
8,142,"College of Petroleum and Energy Studies, Kaduna State",,,2023,NULL,
9,146,"Al-Bayan University, Ankpa, Kogi State",,,2023,null,
19,126,"Amaj University, Kwali, Abuja",,,2023,NULL,
10,147,"Lighthouse University, Evbobanosa, Edo State",,,2024,null,
11,148,"African University of Economics, FCT, Abuja",,,2024,null,
20,128,"Wigwe University, Isiokpo Rivers State",,https://www.wigweuniversity.edu.ng/fees/,2023,15083100,
21,73,"Skyline University, Kano",Dr. Ajith Kumar V V,https://www.sun.edu.ng,2018,4585929,
22,7,"American University of Nigeria, Yola",Dr. Margee Ensign,https://www.aun.edu.ng,2003,3866904,
23,43,"Pan-Atlantic University, Lagos",Professor Enase Okonedo,https://www.pau.edu.ng,2002,3613017,
24,131,"Elrazi Medical University Yargaya University, Kano State",,https://elrazi.edu.ng/fees/,2023,3103333,
25,70,"PAMO University of Medical Sciences, Portharcourt",Prof. Michael Diejomaoh,https://www.pums.edu.ng,2017,3000000,
26,39,"Nile University of Nigeria, Abuja",Prof. Osman Nuri Aras,https://www.nileuniversity.edu.ng/,2009,2939535,
27,144,"Prime University, Kuje, FCT Abuja",,https://primeuniversity.edu.ng/admission/,2023,2740000,
28,125,"Hensard University, Toru-Orua, Sagbama, Bayelsa State",,https://hensarduniversity.edu.ng/fees,2023,2675000,
29,141,"El-Amin University, Minna, Niger State",,https://www.el-aminuniversity.edu.ng/courses.php,2023,2621786,
30,105,"Nigerian British University, Asa, Abia State","Professor Hakeem Fawehinmi,",https://nbunet.nbu.edu.ng/RRR/optionsOfPay,2022,2579333,
31,145,"Nigerian University of Technology and Management, Apapa, Lagos State",,https://nutmng.org/undergraduate-programs/,2023,2500000,
32,9,"Babcock University,Ilishan-Remo",Professor Ademola Stephen Tayo,https://www.babcock.edu.ng,1999,2494065,
33,78,"Topfaith University, Mkpatak, Akwa Ibom State",Prof. Patrick James Ebewo,https://topfaith.edu.ng/pg/fees,2021,2346458,
34,10,Baze University,Prof. Michael Hodd,https://www.bazeuniversity.edu.ng,2011,2312500,
35,72,"Eko University of Medical and Health Sciences Ijanikin, Lagos",Professor Muheez Alani Durosinmi,https://www.ekounivmed.edu.ng,2017,2225000,
36,92,"University of Offa, Kwara State",Prof. Musa Aibinu,https://unioffa.edu.ng/,2021,2000000,
37,100,"Margaret Lawrence University, Umunede, Delta State",,https://mlugalilee.edu.ng/,2022,1680000,
38,55,"Veritas University, Abuja",Prof. Yacinth E. Ichoku,https://www.veritas.edu.ng,2007,1555716,
39,119,"Azman University, Kano State",,https://www.azmanuniversity.edu.ng/fees,2023,1543350,
40,95,"Philomath University, Kuje, Abuja",Prof. Gylych Jelilov,https://www.philomath.edu.ng/tuition-fee/,2021,1516000,
41,23,"African University of Science and Technology, Abuja",,http://aust.edu.ng/,2007,1500000,
42,117,"Amadeus University, Amizi, Abia State",,https://amadeus.edu.ng/tuition-fees-2/,2023,1489475,
43,143,"Jewel University, Gombe state",,https://jeweluniversity.edu.ng/fees-and-tuition/,2023,1360000,
44,129,"Hillside University of Science and Technology, Okemisi, Ekiti State",,https://hust.edu.ng/,2023,1323161,
45,3,"Afe Babalola University, Ado-Ekiti - Ekiti State",Prof. E. Smaranda Olarinde,https://www.abuad.edu.ng,2009,1267500,
46,2,"Adeleke University, Ede",Prof. Samuel E Alao,https://www.adelekeuniversity.edu.ng,2011,1260070,
47,89,"Maryam Abacha American University of Nigeria, Kano State",Prof. Mohammad Israr,https://www.maaun.edu.ng/,2021,1259600,
48,124,"British Canadian University, Obufu Cross River State",,https://thebritishcanadianuniversity.com/undergradate-fees/,2023,1250000,
49,122,"Canadian University of Nigeria, Abuja",,https://bcu.edu.ng/fees-tuition/,2023,1213300,
50,22,"Elizade University, Ilara-Mokin",Prof. Kayode Ijadunola,https://www.elizadeuniversity.edu.ng,2012,1204000,
51,90,"Capital City University, Kano State",Prof Sadiq Zubair Abubakar,https://www.ccuk.edu.ng/,2021,1165200,
52,101,"Khalifa Isiyaku Rabiu University, Kano",,https://khairun.edu.ng/,2022,1137500,
53,98,"North Eastern University, Gombe",Prof. Yusuph Amuda Yahaya,https://pru.edu.ng/,2022,1115000,
54,11,"Bells University of Technology, Otta",Professor Jeremiah Ojediran,https://www.bellsuniversity.edu.ng/,2005,1106545,
55,18,Covenant University Ota,Prof. Abiodun Humphrey Adebayo,https://www.covenantuniversity.edu.ng/,2002,1099150,
56,14,"Bowen University, Iwo",Professor. Joshua Ogunwole,https://www.bowen.edu.ng,2001,1074719,
57,8,Augustine University,Prof. Steve Afolami,https://www.augustineuniversity.edu.ng/,2015,1074432,
58,110,"Rayhaan University, Kebbi",,https://rayhaanuniv.edu.ng/pay-my-tuition/,2023,1068888,
59,59,Christopher University Mowe,Prof. Oyelana Olatunji,https://www.christopheruniversity.edu.ng/,2015,1050000,
60,56,"Wellspring University, Evbuobanosa - Edo State",Professor F E Obi Ikediugwu,https://www.wellspringuniversity.net,2009,1033714,
61,15,"Caleb University, Lagos",Professor Nosa Owens-Ibie,https://www.calebuniversity.edu.ng,2007,1019000,
62,30,"Joseph Ayo Babalola University, Ikeji-Arakeji",Professor Kola Sonaike,https://www.jabu.edu.ng,2006,1004750,
63,17,Chrisland University,Prof (Mrs) Chinedum Peace Babalola,https://www.chrislanduniversity.edu.ng,2015,962500,
64,99,"Al-Ansar University, Maiduguri, Borno",Prof. Abubakar Kundiri,https://aum.edu.ng/fees/tuition,2022,907137,
65,1,"Achievers University, Owo",Professor Samuel Aje,https://www.achievers.edu.ng,2007,900000,
66,20,Crescent University,Professor Ibrahim Gbajabiamila,https://www.crescent-university.edu.ng,2005,887214,
67,29,Igbinedion University Okada,Professor Lawrence Ikechukwu Ezemonye,https://www.iuokada.edu.ng,1999,878607,
68,132,"Venite University, Iloro-Ekiti, Ekiti State",,https://veniteuniversity.edu.ng/,2023,873846,
69,31,"Kings University, Ode Omu",Prof. Adenike Kuku,https://www.kingsuniversity.edu.ng/,2015,873666,
70,67,Clifford University Owerrinta Abia State,Prof. Chimezie A Omeonu,https://www.clifforduni.edu.ng/,2016,863000,
71,60,"Kola Daisi University Ibadan, Oyo State",Prof. Kolade Ayorinde,https://www.koladaisiuniversity.edu.ng/,2016,850000,
72,113,"Aletheia University, Ago-Iwoye Ogun State",,https://portal.aletheiauniversity.edu.ng/prospectStudent/register/,2023,850000,
73,34,"Lead City University, Ibadan",Prof. Kabiru Aderemi Adeyemo,https://www.lcu.edu.ng,2005,844595,
74,74,"Greenfield University, Kaduna",Prof. Simon Katung,https://www.gfu.edu.ng,2019,838750,
75,107,"Newgate University, MInna, Niger State.",,https://newgateuniversityminna.edu.ng/,2022,822500,
76,13,"Bingham University, New Karu",Prof. Haruna Kuje Ayuba,https://www.binghamuni.edu.ng,2005,816591,
77,12,"Benson Idahosa University, Benin City",Prof. Sam Guobadia,https://www.biu.edu.ng/,2002,803400,
78,48,"Ritman University, Ikot Ekpene, Akwa Ibom",Prof. Celestine A Ntuen,https://www.ritmanuniversity.edu.ng,2015,800000,
79,76,Trinity University Ogun State,Professor Charles Korede Ayo,https://www.trinityuniversity.edu.ng/,2019,796707,
80,62,Dominican University Ibadan Oyo State,Prof. Anthony Akinwole,https://www.dui.edu.ng/,2016,793078,
81,46,"Renaissance University, Enugu",Prof. Patrick Egbunam Emekekwue,https://www.rnu.edu.ng,2005,784375,
82,79,"Thomas Adewumi University, Oko-Irese, Kwara State",Professor Francisca Oladipo,https://www.tau.edu.ng/,2021,771522,
83,5,"Al-Hikmah University, Ilorin",Professor Noah Yusuf,https://www.alhikmah.edu.ng,2005,742205,
84,64,Arthur Javis University Akpoyubo Cross river State,Prof. Julian Osuji,https://www.arthurjarvisuniversity.edu.ng/,2016,735000,
85,130,"University on the Niger, Umunya, Anambra state",,https://uniniger.edu.ng/index.php/fees/,2023,725950,
86,38,Mountain Top University,Prof Elijah Ayolabi,https://www.mtu.edu.ng,2015,710333,
87,26,"Gregory University, Uturu",Prof. M O E Iwuala,https://gregoryuniversityuturu.edu.ng/,2012,710000,
88,84,"Havilla University, Nde-Ikom, Cross River State",Prof. Ejor Tiku Ntuokwa,https://havillauniversity.edu.ng/,2021,704000,
89,127,"Phoenix University, Agwada, Nasarawa State",,https://phoenixuniversity.edu.ng/course-search/,2023,685000,
90,87,"Karl-Kumm University, Vom, Plateau State",Prof. Nanven Audu Gambo,https://kku.edu.ng/,2021,672500,
91,81,"Ave Maria University, Piyanko, Nasarawa State",,https://maranathauniversitylagos.edu.ng/school-fees/,2021,671312,
92,104,"Saisa University of Medical Sciences and Technology, Sokoto State",,https://admission.saisa.edu.ng/,2022,662500,
93,27,"Hallmark University, Ijebi Itele, Ogun",Prof. Segun Odunola,https://hallmarkuniversity.edu.ng/,2015,650000,
94,109,NorthWest University Sokoto State,,https://nwus.edu.ng/,2022,650000,
95,114,"Lux Mundi University Umuahia, Abia State",,https://luxmundi.edu.ng/fees/tuition,2023,650000,
96,75,"Dominion University Ibadan, Oyo State",Prof Olajide A. Olorunisola,https://www.dominionuniversity.edu.ng/,2019,643200,
97,4,"Ajayi Crowther University, Ibadan",Prof. Timothy A. Adebayo,https://www.acu.edu.ng,2005,642500,
98,83,"Mudiame University, Irrua, Edo State",,https://www.mudiameuniversity.edu.ng/tuition-fee/,2021,632741,
99,19,Crawford University Igbesa,Prof. Isaac Rotimi Ajayi,https://www.crawforduniversity.edu.ng,2005,630500,
100,61,Anchor University Ayobo Lagos State,Prof. J O Afolayan,https://www.aul.edu.ng/,2016,610000,
101,49,"Salem University, Lokoja",Prof. Alewo Johnson Akub,https://www.salemuniversity.edu.ng,2007,597250,
102,21,"Edwin Clark University, Kaigbodo",Prof. Timothy O Olagbemiro,https://www.edwinclarkuniversity.edu.ng/,2015,597150,
103,66,Coal City University Enugu State,Prof. Afam Icha-Ituma,https://www.ccu.edu.ng/,2016,593550,
104,94,"Edusoko University, Bida, Niger State",Prof. Muhammad Alkali,https://edusokouniversity.edu.ng/fees,2021,587000,
105,36,"Mcpherson University, Seriki Sotayo, Ajebo",Prof. Adegbaye F. Igbasan,https://www.mcu.edu.ng,2012,585173,
106,33,"Landmark University, Omu-Aran.",Prof. Charity O. Aremu,https://www.lmu.edu.ng,2011,580571,
107,106,"Peter University, Achina-Onneh Anambra State",,https://www.puni.edu.ng/,2022,575000,
108,97,"Anan University, Kwall, Plateau State",Prof. Inuwa Musa-Fodio,https://www.ananuniversity.edu.ng/,2021,570000,
109,133,"Shanahan University Onitsha, Anambra State",,https://shanahanuni.edu.ng/faq/how-much-is-the-tuition/,2023,566666,
110,40,"Novena University, Ogume",Prof Chris Aniche Okoroafor,https://www.novenauniversity.edu.ng,2005,560000,
111,96,"Khadija University, Majia, Jigawa State",Prof. Hassana Sani Darma,https://kum.edu.ng/tuition-fees/,2021,558333,
112,35,"Madonna University, Okija",Prof. Uchenna Casmir Anyanwu,https://www.madonnauniversity.edu.ng,1999,554676,
113,37,Micheal & Cecilia Ibru University,Prof. (Mrs.) Ibiynka A. Fuwape,https://mciu.edu.ng/,2015,534783,
114,80,"Maranathan University, Mgbidi, Imo State",,https://maranathauniversitylagos.edu.ng/school-fees/,2021,532500,
115,120,"Huda University, Gusau, Zamafara State",,https://hug.edu.ng/,2023,524500,
116,45,"Redeemer's University, Ede",Professor Anthony Enisan Akinlo,https://www.run.edu.ng,2005,514985,
117,54,"University of Mkar, Mkar",Prof. Zacharys A. Gundu,https://www.unimkar.edu.ng,2005,494500,
119,50,"Glorious Vision University, Ogwa, Edo State.",Prof. Babatunde A. Idowu,https://www.sau.edu.ng,2011,493375,
118,118,"Vision University, Ikogbo, Ogun State",,https://gvu.edu.ng/undergraduate/admission/tuition-fees/,2023,493375,
120,52,"Summit University, Offa",Prof. Abiodun Musa Aibinu,https://www.summituniversity.edu.ng,2015,488500,
121,24,"Fountain Unveristy, Oshogbo",Prof. Amidu Olalekan Sanni,https://www.fuo.edu.ng,2007,482500,
122,71,Atiba University Oyo,Prof Sunday Okeniyi,https://www.atibauniversity.edu.ng/,2017,471428,
123,77,"Westland University Iwo, Osun State",Prof. Oshiotse A. Okwilagwe,https://westland.edu.ng/,2019,460533,
124,47,"Rhema University, Obeama-Asa - Rivers State",Professor O. C. Onwudike,https://www.rhemauniversity.edu.ng,2009,459000,
125,53,"Tansian University, Umunya",Professor Edward Chukwuka Orji,https://tansianuniversity.edu.ng/,2007,450500,
126,82,"Al-Istiqama University, Sumaila, Kano State",,https://mytopschools.com/ausu-school-fees/,2021,447466,
127,69,"Precious Cornerstone University, Oyo",Prof. Julius Kolawole Oloke,https://www.pcu.edu.ng,2017,427500,
128,42,"Oduduwa University, Ipetumodu - Osun State",Prof. Benjamin Segun Aribisala,https://www.oduduwauniversity.edu.ng,2009,416666,
129,65,"Ojaja University Eiyenkorin, Kwara State","Prof. Jeleel Olasunkanmi, Ojuade",https://www.crownhilluniversity.edu.ng/,2016,415823,
130,25,"Godfrey Okoye University, Ugwuomu-Nike - Enugu State",Prof. (Revd.) Chikelu. Anieke,https://www.gouni.edu.ng,2009,400902,
131,115,"Maduka University, Ekwegbe, Enugu State",,https://madukauniversity.edu.ng/fee-list,2023,400631,
132,111,Muhammad Kamalud University Kwara,,https://mku.edu.ng/admission-requirements,2023,385866,
133,68,"Spiritan University, Nneochi Abia State",Prof. Remy Onyewuenyi,https://www.spiritanuniversity.edu.ng,2017,365000,
134,23,"Evangel University, Akaeze",Prof. I U Kalu,https://www.evangeluniversity.edu.ng,2012,361800,
135,28,"Hezekiah University, Umudi",Prof. Chiedozie O. Ibegbulem,https://hezekiah.edu.ng/,2015,350000,
136,44,"Paul University, Awka - Anambra State",Professor Obiora Nwosu,https://www.pauluniversity.edu.ng,2009,342000,
137,91,"Ahman Pategi University, Kwara State",Prof. Adebola Mahfouz Adedimeji,https://schoolings.org/ahman-pategi-university-patigi-school-fees-for-fresh-students/,2021,331866,
138,16,"Caritas University, Enugu",Professor Vincent C. Okore,https://www.caritasuni.edu.ng/,2005,329291,
139,137,"Miva Open University, Abuja FCT",Prof. Tayo Arulogun,https://miva.university/,2023,306666,
140,51,"Southwestern University, Oku Owa",Prof. Jide Oluwajuyitan,https://www.southwesternuniversity.edu.ng,2012,300000,
141,63,"Legacy University, Okija Anambra State",Prof. Moses Nkem Chendo,https://www.legacyuniversity.edu.ng/,2016,300000,
142,41,"Obong University, Obong Ntak",Professor Udouda M Ekanemesang,https://www.obonguniversity.org/,2007,277000,
143,85,"Claretian University of Nigeria, Nekede, Imo State",,https://claretianuniversity.edu.ng/cun-tuition-fees-and-scholarship/,2021,275000,
144,6,"Al-Qalam University, Katsina",Prof. Nasiru Musa Yauri,https://www.auk.edu.ng,2005,237479,
145,112,"Sam Maris University, Ondo",,https://smu.edu.ng/index.php/contents/fees-structure.html,2023,225000,
146,32,"Kwararafa University, Wukari",Professor Yakubu A Ochefu,https://www.kuw.edu.ng/,2005,170000,
147,140,"Al-Muhibbah Open University, Abuja",,https://aou.edu.ng/tuition,2023,105000,
148,138,"Iconic Open University, Sokoto State.",,https://www.iconicuniversity.edu.ng/,2023,70833,